name,Country,Home Location Type,Reading Score Before Help,Reading Score After Help,School Satisfaction Before Help,School Satisfaction After Help
Kaitlyn Flores,Denmark,City,40.0,45.53,3,3.57280390260088
Madeline Reed,South Korea,City,73.41,89.09,4,4.44122400948934
Randy Harmon,NZ,City,59.81,69.2,3,2.8182278480958
Kellie Maxwell,Denmark,Rural,59.32,77.02,4,4.77916267784445
Bonnie Maldonado,USA,City,40.99,49.19,2,2.40234641043472
Mark Mcmahon,USA,City,82.76,97.51,2,2.03885949266227
Phillip Martin,NZ,Town,59.1,76.76,5,5.0
Erika Gordon,USA,City,77.36,94.66,3,3.93803676253257
April Duffy,USA,City,61.37,78.74,4,4.62523205103208
Kenneth Oneal,Denmark,Town,77.4,87.03,2,2.50109949267322
Jorge Holland,USA,City,42.39,49.34,3,3.58692397116281
Ryan Gomez,South Korea,Town,80.85,96.86,4,3.90662882843182
Cynthia Jackson,Denmark,Rural,44.54,59.77,4,5.0
Eddie James,USA,City,66.8,79.62,3,4.39069812663571
Paul Sharp,South Korea,City,40.0,49.62,2,1.89565236908176
Robert Hughes,USA,Rural,91.39,100.0,3,3.57060140528918
Amanda Williams,South Korea,Town,55.81,61.87,3,3.18082386722453
Eric Shepherd,Denmark,Rural,45.51,55.54,2,2.15028788002679
Nicole Moss,South Korea,City,78.79,99.52,3,3.31756734153751
Natalie Morales,USA,Rural,40.0,46.18,2,2.45925152476493
John Key,USA,City,42.96,52.45,4,5.0
Jacob Stokes,South Korea,City,41.31,50.64,3,3.79358379832564
Dr. Jennifer Rojas,USA,City,40.0,52.14,4,4.48691559011709
Charles Aguilar,USA,City,52.81,47.15,2,2.61184124059953
David Stone,USA,City,60.61,71.59,3,3.64049202114213
Lindsey Foster,USA,City,69.49,92.03,4,4.97774486941951
Kristina Hall,NZ,Town,81.49,100.0,3,3.45032444102444
Derek Harris,South Korea,Town,40.0,39.31,2,2.39491854378274
Michael Spencer,Denmark,Rural,40.0,58.42,2,2.38842504213455
Mark Murphy,USA,City,54.52,61.21,5,5.0
Marc Adams,Denmark,Town,63.18,85.6,4,5.0
Allison Thomas,NZ,Town,95.71,100.0,1,1.18101978000754
Denise Moss,USA,City,62.18,78.65,3,3.36813580959567
Ryan Liu,Denmark,City,59.04,65.63,3,3.56839992895973
Melinda Gray,USA,City,52.33,60.79,5,5.0
Joseph Johnson,NZ,Town,69.24,84.88,3,3.47042112520424
David Guzman,Denmark,Rural,74.93,92.63,1,1.20221814836362
Jonathan Taylor,South Korea,City,40.0,47.67,4,3.77905531645012
Kevin Nelson,USA,City,59.61,63.48,5,5.0
Danny Phillips,USA,City,67.36,87.3,1,1.00874501727509
Abigail Hall,USA,City,40.0,46.32,3,3.59758521919873
Steven Mckee,NZ,Rural,63.53,73.69,3,3.21145459895216
Loretta Barnes,NZ,City,72.36,83.9,2,2.33946604702109
Robert Ball,NZ,City,75.52,94.75,4,5.0
Patricia Miller,USA,Town,40.0,49.67,4,4.29863834287925
Barbara Brown,USA,Rural,72.25,86.09,3,3.75289632200109
Matthew Adams DDS,NZ,Rural,65.82,86.69,1,1.14858046246349
Roberto Day,South Korea,City,40.0,49.88,4,4.84823510294714
Devin Barker,USA,Rural,69.26,75.1,4,5.0
Eric Perez,Denmark,Rural,83.07,100.0,3,3.87694292812107
Kenneth Evans,NZ,Town,76.55,100.0,3,4.47602235946977
Terrance Franco,South Korea,Town,80.89,99.55,3,4.19573544693436
Monique Stevens,NZ,Town,68.7,84.17,1,1.26094231351679
Thomas Becker,NZ,Town,55.62,54.88,1,1.14117148866079
Pamela Stewart,South Korea,Town,91.35,100.0,3,4.32580556961789
Jessica Perkins,South Korea,City,44.53,39.64,2,2.33711075267159
Dana Baker,South Korea,City,71.2,99.28,3,3.99301198147432
Luis Kirk,South Korea,City,56.39,63.21,3,3.73308503802995
Kurt Kirk,USA,Rural,76.91,96.32,4,4.37032754339505
Amanda Baldwin,USA,Town,66.47,86.64,4,5.0
Monica Cortez,South Korea,City,85.4,100.0,1,1.18053479120073
Brandon Collins,NZ,City,40.0,51.28,4,4.7702866148464
Nicole Hall,NZ,City,40.0,53.27,1,1.0
Stephanie Smith,South Korea,Rural,55.54,72.18,4,4.26145316981531
Julia James,USA,Town,40.0,55.31,3,3.3743258772009
Marc Berry,South Korea,City,60.78,76.6,2,2.86654405404915
Natalie Castillo,NZ,Town,71.18,100.0,3,3.34035045103961
Kevin Combs,USA,Town,96.92,100.0,2,2.10336859198061
Robert Schmidt,NZ,City,78.05,100.0,2,2.95871818312436
Louis Kane,South Korea,Town,47.45,54.32,4,4.88917685533056
Alyssa Jones,USA,Rural,41.75,48.47,4,5.0
Kristen Bean,USA,Town,44.49,51.69,5,4.92190484382714
Michelle Jones,South Korea,City,92.38,98.79,4,4.68582722910316
Jennifer Miles,USA,Rural,49.47,53.05,2,2.54933772349702
Mark Thompson,USA,Rural,88.68,100.0,3,3.56309812869666
Jonathan Lucas,USA,City,55.3,65.5,3,3.8834161118173
Joan West,Denmark,Town,50.8,66.43,3,3.8063950481983
Elizabeth Myers,South Korea,Town,49.21,48.02,1,1.36157735596365
Gabriel Jones,NZ,Rural,76.25,94.09,3,4.33362197889156
Veronica Mccoy,USA,City,49.24,45.37,5,4.98261938885369
Gina Whitaker,Denmark,City,51.49,58.92,3,3.1122143284849
Meghan Flores,NZ,City,40.64,55.48,2,2.4171652111312
Carlos Frazier,NZ,Town,40.0,50.43,4,5.0
Deborah Dunn,Denmark,Rural,53.67,69.4,3,3.48395162446821
Joan Romero,Denmark,Rural,71.75,100.0,3,3.3833204462613
David Moses,USA,City,40.0,58.49,4,5.0
Joanna Baker,USA,City,40.0,46.32,4,4.95838456505481
Michele Byrd,NZ,Town,56.14,70.6,3,3.63591060953013
Joshua Miller,USA,City,51.26,58.67,5,5.0
Susan Baird,USA,City,40.0,59.9,4,4.40614134159513
David Rodriguez,NZ,Town,56.08,67.37,5,5.0
Shelley Kelley,USA,Rural,69.29,73.82,1,1.15697605729328
Andrew Fowler,Denmark,Rural,75.52,97.43,2,2.19629289152472
Shawn Brown,South Korea,Town,40.0,37.11,3,3.57112959694536
Tina Sandoval,South Korea,Rural,53.71,61.39,4,5.0
Donald Dawson,NZ,Rural,42.29,44.42,2,2.76153021636296
Amanda Mayo,NZ,City,100.0,100.0,2,2.22748206495639
Mallory Molina,South Korea,Rural,40.03,42.24,2,2.56514855567967
Kathleen Garcia,South Korea,Town,40.0,54.93,2,2.06545040838978
Timothy Wood,USA,Town,84.83,100.0,3,4.15836453444908
Alexis Garner,NZ,City,56.41,64.39,5,5.0
Tyler Davis,NZ,Rural,89.45,100.0,2,2.70163715801797
Connor Kelly,USA,Town,89.9,98.72,4,4.58202335968942
Trevor Gill,South Korea,Town,86.94,100.0,3,3.27837456421671
Marissa Rodriguez,Denmark,City,40.0,42.45,4,5.0
Laura Nicholson,USA,Rural,85.25,89.46,3,4.04152318309808
Cynthia Brown,USA,Rural,70.3,90.88,2,2.03957920872989
Courtney Johnson,South Korea,Rural,60.25,80.88,4,4.62888087047101
Jasmine Johnson,Denmark,City,53.24,61.58,4,4.98066157270843
Dustin Allen,Denmark,City,51.15,58.03,3,3.78833705960839
William Briggs,South Korea,Town,52.06,54.76,4,4.28108527521553
Joshua Gibson,South Korea,City,40.0,52.57,5,5.0
Courtney Schmitt,South Korea,City,60.49,75.62,5,5.0
James Woodard,Denmark,Town,55.42,59.26,4,5.0
Christine Carpenter,USA,Rural,93.74,100.0,4,4.70744608772751
Alexis Williamson,South Korea,City,47.2,55.07,4,5.0
Chad Haley,South Korea,City,60.8,74.95,5,4.66564755917452
Amy Thomas,USA,City,40.0,49.85,4,4.71281514458881
Justin Hill,South Korea,Town,40.0,45.05,1,1.21459809614308
Virginia Murphy,USA,Rural,76.51,91.0,2,2.46465006232854
Jessica Perry,USA,City,73.86,89.01,2,2.43674206682723
Jeremy Pierce,NZ,City,73.44,83.68,4,5.0
Paul Harris,USA,City,51.71,69.06,1,1.13081851653836
Elizabeth Nunez,USA,City,63.33,75.21,2,2.01793717109441
Cody Anderson,USA,Town,70.43,82.92,3,3.42897635140914
Jacob Cooper,USA,Rural,87.78,100.0,4,4.35058179665053
Matthew Nelson,USA,Town,57.24,64.98,3,3.24874853697582
Kelly Williamson,South Korea,Town,57.51,66.14,4,5.0
Dawn Myers,USA,Rural,93.27,98.71,1,1.0
Cynthia Robinson,NZ,Rural,82.03,100.0,3,3.70381793791195
Lisa Wilkins,South Korea,City,40.0,48.05,5,5.0
Sandra Wood,USA,Rural,74.3,79.62,4,4.54684199131044
Laura Mcdonald,Denmark,City,80.25,80.29,2,2.84941743386133
Christina Hernandez,Denmark,Rural,90.17,100.0,4,5.0
Valerie Woods,NZ,Rural,57.3,80.95,3,3.68173565222293
Kimberly Wilson,USA,City,54.17,61.21,1,1.13058251246906
Chad Anderson,NZ,City,47.98,50.35,3,3.71035017919873
Edward Bennett,NZ,City,77.52,100.0,3,3.28570083314888
Michael Arnold,NZ,Rural,50.37,61.15,3,4.06753683423446
Chad Coleman,Denmark,Town,51.25,67.52,3,3.31423023893882
Mr. Michael Tate,NZ,Rural,62.85,63.43,1,1.30093000688634
Richard Duke,USA,City,90.43,100.0,3,3.92888064030646
Lori Briggs,South Korea,Rural,42.81,51.81,3,2.9263762854793
Kelly Graves,South Korea,City,59.89,73.78,3,4.24543633410368
Jon Mason,NZ,Rural,40.0,49.6,5,5.0
Dr. Kristen Medina DDS,USA,City,73.79,86.16,2,2.15626327626783
Steve Ford,Denmark,Town,55.4,64.83,4,4.63132831588422
Marcus Jones,South Korea,City,59.31,69.82,4,4.73978790084002
Tammy Daniel,USA,City,40.0,39.65,4,5.0
Rebecca Snyder,USA,City,62.92,75.66,3,3.28172605086763
Krista Sweeney,NZ,Rural,64.07,83.88,3,3.36884418368279
Rodney Ruiz,USA,Town,81.94,95.3,3,3.22505713727532
Jesse Lindsey,USA,City,55.72,67.91,3,2.85061486045084
Ryan Harris,South Korea,City,48.15,55.57,1,1.24294936054422
Ryan Hodges,South Korea,City,41.85,46.26,4,4.60072114972647
Sarah Weber,Denmark,Rural,77.21,95.01,3,3.32471790542513
Taylor Hoffman,USA,City,47.09,57.83,3,4.32866505907879
Patricia Boone,USA,Town,54.1,64.68,3,3.69376082451039
Mrs. Lauren Hughes DDS,South Korea,City,51.36,65.22,4,4.12334651858584
Brian Frye,USA,City,40.0,48.27,4,4.76913168285666
Jason Hill,USA,City,57.95,78.61,3,3.41115146674403
Thomas Hopkins,Denmark,City,66.34,85.63,4,5.0
Jason Jones MD,Denmark,City,51.65,57.67,3,3.55186798896787
Melissa Reid,NZ,Rural,99.29,100.0,3,4.01810805939394
James Bond,USA,Rural,100.0,100.0,3,3.73969038586114
Katherine Martin,South Korea,City,76.4,82.42,4,5.0
Steven Schultz,South Korea,Rural,53.9,52.95,4,4.45629976818694
Lisa Green,NZ,Rural,63.59,71.24,2,2.23923143423627
Deborah Jones,NZ,City,66.16,68.2,3,3.43365801521233
Doris Harrell,South Korea,City,61.0,85.6,1,1.11430319743952
Maria Wilson,NZ,Rural,94.0,97.93,5,5.0
Francisco Gray,Denmark,City,47.72,65.43,2,2.56838512786624
Mr. Jeffrey Avila,USA,City,62.79,90.23,3,4.17995524898632
Ashley Khan,South Korea,City,69.23,87.36,3,3.55829605008399
Brittany Porter,South Korea,Town,40.0,46.03,2,1.96342582401848
Ryan Houston,USA,City,94.83,100.0,3,3.13508432673721
Manuel Lam,USA,Town,96.09,100.0,2,2.74410061302901
Ricardo Willis,USA,Rural,40.0,40.63,4,4.80395144349007
Catherine Harris,USA,Town,40.0,48.73,4,5.0
Felicia West,USA,City,47.96,66.9,4,4.76995683611358
Danny Randolph,NZ,Rural,64.03,81.86,3,3.41594812751197
Brandi Kane,Denmark,City,79.63,81.59,2,2.72278640804233
Autumn Craig,USA,Town,59.33,75.69,1,1.0
Seth Gray,USA,Rural,82.13,99.68,5,5.0
Jonathon Villanueva,South Korea,City,40.0,46.24,2,2.2240653767559
John Reed,NZ,City,57.0,59.06,1,1.06550138739227
Debra Garcia,USA,Rural,56.15,67.84,4,5.0
Danielle Alvarez,South Korea,Rural,75.05,100.0,4,5.0
Chelsea Barker,South Korea,City,40.0,38.83,2,2.26592722303458
John Mcbride,USA,Rural,67.35,67.43,2,2.71570770019239
Andrew Giles,South Korea,Rural,64.63,81.94,3,3.4262145584349
Erik Mcdowell,USA,Town,89.86,80.84,3,3.08946534380668
Sergio Robinson,South Korea,Town,45.63,56.97,2,2.3038626664254
Teresa Hunt,South Korea,Rural,84.68,87.18,2,2.1444104933852
Michael Carter,USA,Town,45.3,51.18,2,2.23255731194522
Christopher Wilkins,USA,City,80.32,100.0,3,3.83762171056134
Lauren Shaffer,South Korea,City,40.0,53.02,5,5.0
Amanda Jones,South Korea,City,53.1,63.3,3,3.40752936557423
Christopher Beard,Denmark,City,40.91,48.73,3,3.14546151202938
Ashley Santiago,USA,Town,57.19,66.58,4,4.55098986948625
Lynn Ramirez,South Korea,Rural,69.03,86.54,4,5.0
Lisa Greene,USA,City,76.48,93.94,3,2.89803875487983
Amanda Steele,USA,Rural,43.39,55.49,2,2.18072730968754
Sonya Pacheco,South Korea,City,58.78,82.25,4,4.19935328507898
Eddie Gonzalez,NZ,City,40.0,52.5,5,5.0
Laura Ortega,Denmark,Rural,44.01,55.78,3,3.97005135181434
Danielle King,USA,Rural,59.7,73.98,2,2.63976335506991
Carrie Green,USA,Town,60.57,79.55,2,2.24462125929093
Jasmine Hernandez,NZ,Town,70.66,92.44,2,2.65600782672432
Sarah Meyers,USA,Town,54.16,72.08,2,2.66040368313769
Debbie Green,South Korea,Rural,62.23,87.87,3,3.03577507115248
Valerie Hunter,USA,Rural,40.0,45.84,3,3.28403812098742
Natasha Curtis,Denmark,Rural,70.01,95.73,3,4.00981557020478
Brittany Graham,USA,Rural,55.3,66.32,5,5.0
Jillian Lewis,South Korea,City,68.98,82.23,4,4.72735121325304
Melanie Sellers,Denmark,Rural,79.05,100.0,3,3.19683171904001
James Spears,South Korea,City,80.25,90.45,5,5.0
Robert Wilson,Denmark,Town,61.29,72.92,2,2.11622999824097
Ryan Fleming,South Korea,Rural,40.0,49.84,4,5.0
Cassidy Jones,South Korea,City,40.0,52.82,2,2.83339833286086
Robert Stewart,USA,Town,40.0,42.29,1,1.21377740338941
Yolanda Ward,NZ,Rural,52.24,59.83,3,3.44200186738608
Daniel Chapman,Denmark,City,58.31,72.82,3,3.84171853940135
Daniel Miller,USA,City,49.27,72.74,2,2.26471158216628
Daniel Black,South Korea,City,56.91,68.21,5,5.0
Corey Gibson,USA,Town,79.47,100.0,3,3.81209944008279
Jordan Miller,NZ,Town,40.0,48.18,5,5.0
Robert Watson,South Korea,Town,70.95,89.48,4,5.0
Jamie Douglas,Denmark,City,80.16,87.85,3,3.81394462897015
Veronica Dixon,South Korea,City,67.16,72.98,3,3.87315018131059
Mary Davies,Denmark,City,70.68,94.71,3,4.03986088515338
Kevin Brown,Denmark,Rural,75.69,97.27,4,5.0
Michael Martinez,South Korea,City,53.34,55.36,3,3.56191392268214
Jody Gamble,South Korea,Rural,63.65,61.77,3,4.13201649725977
Jennifer Wheeler,NZ,Town,42.43,60.82,1,1.10260726792174
Janice Bartlett,NZ,City,40.0,40.4,4,5.0
Sierra Wagner,USA,Town,48.71,56.69,5,5.0
Alexandria Watson,USA,Town,55.73,53.35,2,2.33764003969722
Anita Hamilton,USA,City,83.23,88.85,3,3.550202341891
Julian Jacobs,NZ,Town,62.13,77.14,4,4.60610657816318
Rebecca Edwards,NZ,Rural,80.48,100.0,4,5.0
Andrea Thompson,USA,City,100.0,100.0,2,2.32391370558309
Paul Williams,USA,Town,65.24,60.31,3,4.12868183031294
William Smith,South Korea,City,48.16,51.73,4,4.77485854233324
Mrs. Sandra Williams,NZ,Town,40.0,42.64,3,3.56607465401691
Sabrina Howard,USA,City,77.42,90.59,4,5.0
John Preston Jr.,South Korea,Town,63.4,63.89,3,3.52460566862275
Vickie Edwards,NZ,City,94.13,100.0,3,4.39301181989983
Dana Wright,Denmark,City,75.28,83.66,3,4.19991214352914
Autumn Smith,NZ,Town,45.89,58.54,4,4.77783736301005
John Obrien,South Korea,City,67.16,70.41,3,4.25316381539251
Raymond Tucker,South Korea,Town,50.99,60.78,4,4.41932670065795
Andre Myers,South Korea,City,42.47,50.15,3,3.78620350157959
Travis Ross,USA,Rural,90.16,100.0,3,3.08564529966824
Marcus Pearson,Denmark,City,52.93,67.96,2,2.18410118133494
Susan Jones,Denmark,Town,74.48,90.19,3,3.46167692614381
Steve Cole,USA,City,40.0,47.37,4,4.21696425310176
Scott Soto,NZ,Town,74.01,79.69,2,2.61738145373749
Eduardo Lopez,Denmark,City,65.12,76.06,3,3.41266729018724
Jennifer Williams,Denmark,Rural,71.04,89.94,3,3.88918151222275
Stacy Stevens,South Korea,City,87.15,100.0,4,4.54017674816033
Kelli Smith,South Korea,City,41.05,49.3,1,1.30096226499192
Ashley Li,USA,City,42.55,59.17,4,5.0
Donald Harris,USA,City,55.52,56.36,4,5.0
Mark Brewer,USA,Town,86.88,86.0,4,3.87789540468997
Melissa Colon,NZ,Rural,75.83,100.0,4,5.0
Jason Spencer,Denmark,Town,57.73,71.97,5,4.81587952466742
Mary Bryant,NZ,City,59.16,70.44,2,2.24229449720334
Amy Thompson,USA,Town,55.43,70.2,4,5.0
Karen Holt,USA,City,77.32,79.85,4,4.59935986032083
Stephanie Martin,Denmark,City,80.87,88.49,3,3.39520743061513
Megan Sexton MD,USA,City,40.0,53.22,4,4.16372874006341
Todd Richards,USA,Town,52.93,61.88,2,2.66742808124992
Joshua Clark,South Korea,Town,40.0,53.98,4,4.77579685644145
Mark Johnson,NZ,City,40.0,49.94,4,5.0
Kimberly Clark,Denmark,Town,40.0,47.76,3,3.86706629981879
Kimberly Ross,NZ,Rural,60.13,73.97,1,1.0
Debra Johnson,Denmark,Town,62.55,64.08,4,3.94775452967699
Allen Rodriguez,Denmark,City,76.77,80.25,4,4.23782119396751
