Name,Age,Age Group,Country,Handedness,Home Location Type,Sleep,Sleep Group,Tertiary Qualifications,Car,Registration Date,Weight Time 1,Weight Time 2
John Jenkins,52,50 to <60,USA,Ambidextrous,Town,6.5,Under 7 hours,Postgraduate,Ferrari,2032-06-01,86.66,95.3945278930732
Tonya Gibbs,20,20 to <30,USA,Right,City,6.0,Under 7 hours,No Qualifications,Mitsubishi,2032-12-01,91.73,88.8898059594548
Philip Ho,8,<20,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Tesla,2031-01-01,71.03,73.9637194640055
Aaron Moore,74,70 to <80,USA,Right,Rural,10.0,9+ hours,No Qualifications,Mitsubishi,2031-10-01,97.72,110.438073439947
Laura Wilson,23,20 to <30,NZ,Right,City,9.5,9+ hours,Undergraduate,Mazda,2031-08-01,88.41,104.555066248631
Connie Alvarez,87,80+,USA,Ambidextrous,Town,9.0,9+ hours,No Qualifications,Renault,2032-04-01,96.8,101.428964064818
Wendy Parker,18,<20,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Mazda,2032-04-01,92.22,98.1685477921448
Christian Garza,87,80+,South Korea,Ambidextrous,Rural,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-09-01,95.17,100.505023529899
Amy Whitney,50,50 to <60,South Korea,Right,Rural,7.0,7 to <9 hours,No Qualifications,Nissan,2031-09-01,92.03,93.7900647537333
Stephanie Reeves,17,<20,USA,Right,Rural,6.5,Under 7 hours,No Qualifications,Hyundai,2032-08-01,89.22,95.457847373272
Tasha Fisher,71,70 to <80,USA,Right,City,8.0,7 to <9 hours,Postgraduate,Toyota,2032-02-01,100.78,108.208856605064
Gina Davis,62,60 to <70,Denmark,Right,City,5.5,Under 7 hours,No Qualifications,Mitsubishi,2030-03-01,94.95,107.097225779589
Haley Martinez,49,40 to <50,Denmark,Right,City,7.0,7 to <9 hours,No Qualifications,Volkswagen,2031-12-01,92.58,99.8365015071719
Craig White,12,<20,USA,Right,Rural,7.0,7 to <9 hours,No Qualifications,Renault,2031-09-01,76.0,71.0068537986833
Jordan Cochran,37,30 to <40,South Korea,Right,City,9.0,9+ hours,No Qualifications,Tesla,2032-11-01,91.5,100.563405254767
John Nguyen,25,20 to <30,USA,Left,City,8.5,7 to <9 hours,No Qualifications,Audi,2031-02-01,93.74,102.377933671146
Erin Atkins,63,60 to <70,NZ,Right,Town,5.5,Under 7 hours,Undergraduate,Tesla,2032-11-01,96.23,107.389348166293
Shawn Hess,23,20 to <30,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Tesla,2031-04-01,96.36,98.9937989956294
Jack Vargas,17,<20,South Korea,Right,City,8.0,7 to <9 hours,No Qualifications,Toyota,2032-03-01,87.07,97.2042652472827
Sarah Garrison,42,40 to <50,NZ,Ambidextrous,City,7.0,7 to <9 hours,No Qualifications,Nissan,2030-09-01,94.01,103.006890834111
Alexis Bolton,70,70 to <80,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Suzuki,2031-05-01,101.42,102.125568752025
Angela Cantu,15,<20,NZ,Right,Town,10.0,9+ hours,No Qualifications,Nissan,2030-09-01,91.81,103.941964110544
John Hunter,72,70 to <80,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Hyundai,2032-02-01,96.64,92.6929114505303
Heather Guerra,69,60 to <70,USA,Ambidextrous,Town,5.5,Under 7 hours,No Qualifications,Volkswagen,2031-07-01,98.08,91.0351890994897
Andrea Miller,22,20 to <30,Denmark,Right,Town,7.0,7 to <9 hours,Undergraduate,Renault,2031-12-01,92.82,98.2918984394869
Patricia Castillo,36,30 to <40,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2030-01-01,92.01,100.691383851169
Christian Lopez,33,30 to <40,NZ,Right,City,7.5,7 to <9 hours,No Qualifications,Hyundai,2032-01-01,94.39,94.7368478765902
Joseph Hayes,54,50 to <60,NZ,Left,Town,8.5,7 to <9 hours,No Qualifications,Fiat,2032-07-01,94.2,94.2188950030248
Steven Horne,9,<20,South Korea,Ambidextrous,City,7.0,7 to <9 hours,No Qualifications,Peugeot,2031-05-01,72.38,80.7735560959442
Erik Maddox,46,40 to <50,South Korea,Right,Rural,7.0,7 to <9 hours,No Qualifications,Tesla,2030-09-01,95.4,95.2118923339457
Ernest Chan,10,<20,USA,Right,Rural,12.5,9+ hours,No Qualifications,Toyota,2032-10-01,80.04,83.3091886243499
Debbie Avila,87,80+,South Korea,Left,City,6.0,Under 7 hours,No Qualifications,Audi,2031-11-01,91.36,94.6884166858452
Zachary Bailey,41,40 to <50,South Korea,Right,City,5.5,Under 7 hours,No Qualifications,Toyota,2032-06-01,94.35,98.3513370872419
Alejandra Smith,47,40 to <50,Denmark,Right,Rural,8.0,7 to <9 hours,No Qualifications,Renault,2031-10-01,92.27,109.596763090485
Mackenzie Rodriguez,85,80+,NZ,Left,Rural,7.0,7 to <9 hours,No Qualifications,Nissan,2030-09-01,96.3,90.1078466809053
Lisa Thompson,53,50 to <60,South Korea,Right,City,10.0,9+ hours,No Qualifications,Nissan,2032-07-01,100.98,109.322712576519
Mary Wheeler,52,50 to <60,NZ,Right,City,7.5,7 to <9 hours,Undergraduate,Fiat,2031-12-01,96.15,98.2450487983292
Cassandra Graham,57,50 to <60,NZ,Right,Town,6.0,Under 7 hours,No Qualifications,Rolls Royce,2031-11-01,94.69,89.4489489638541
Ronald Perez,20,20 to <30,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Fiat,2030-09-01,91.53,102.337756578283
Earl Mann,70,70 to <80,USA,Left,City,8.5,7 to <9 hours,No Qualifications,Mazda,2030-04-01,98.34,103.758187297432
Christina Clark,43,40 to <50,Denmark,Right,Town,7.0,7 to <9 hours,No Qualifications,Kia,2031-02-01,93.5,102.175067176371
Stanley Pearson,13,<20,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Kia,2030-09-01,80.7,87.5909886474667
Sandra Reed,78,70 to <80,South Korea,Right,Rural,7.0,7 to <9 hours,Undergraduate,Kia,2030-01-01,98.63,107.120243891955
Michele Mcdonald,22,20 to <30,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mazda,2032-10-01,88.41,107.534819180108
Robert Ball,59,50 to <60,NZ,Right,City,8.5,7 to <9 hours,No Qualifications,Mazda,2030-02-01,95.9,108.848924221899
Allison Allen,24,20 to <30,South Korea,Ambidextrous,Town,7.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-06-01,91.33,89.9239478006622
Sandra Green DVM,20,20 to <30,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-04-01,94.46,101.504598546563
Jessica Li,89,80+,South Korea,Right,Rural,9.0,9+ hours,No Qualifications,Toyota,2031-11-01,101.58,113.068128350445
Amy Anderson,55,50 to <60,USA,Left,City,6.5,Under 7 hours,No Qualifications,Nissan,2032-02-01,95.18,94.3006857093855
Carla Flores,51,50 to <60,South Korea,Right,Town,6.0,Under 7 hours,No Qualifications,Tesla,2032-08-01,94.27,97.4165275698464
Jennifer Sanders,76,70 to <80,Denmark,Left,Town,8.0,7 to <9 hours,Undergraduate,Jaguar,2031-11-01,93.89,96.7278134496855
Jennifer Holmes,25,20 to <30,South Korea,Right,Town,7.5,7 to <9 hours,No Qualifications,Volkswagen,2032-11-01,93.18,98.6112772990268
David Dodson,21,20 to <30,USA,Right,Rural,6.5,Under 7 hours,No Qualifications,Honda,2030-02-01,87.6,88.3357849427263
Jocelyn Lindsey,48,40 to <50,USA,Right,City,6.5,Under 7 hours,No Qualifications,Renault,2032-10-01,97.22,106.943791561145
Brandi Obrien,81,80+,USA,Right,City,6.5,Under 7 hours,No Qualifications,Maserati,2032-06-01,97.37,104.332114171879
Ashley Choi,56,50 to <60,USA,Right,Town,7.5,7 to <9 hours,Undergraduate,Porsche,2031-07-01,95.07,94.5249184711173
Michael Lynch,22,20 to <30,USA,Ambidextrous,City,4.5,Under 7 hours,Undergraduate,Kia,2032-06-01,90.76,87.4404058413008
Michael Smith,24,20 to <30,Denmark,Right,City,10.5,9+ hours,No Qualifications,Volkswagen,2030-01-01,90.35,94.3420876683862
Mr. Jason Brown MD,63,60 to <70,Denmark,Right,City,6.5,Under 7 hours,No Qualifications,Nissan,2030-10-01,94.81,105.256007184031
Matthew Day,31,30 to <40,NZ,Right,Town,7.5,7 to <9 hours,No Qualifications,Volkswagen,2030-10-01,89.4,107.730785675683
Michael Peck,9,<20,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Peugeot,2031-10-01,76.86,80.2609180811618
Gary Phillips,57,50 to <60,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Mini,2032-03-01,91.17,95.7394874507824
James Costa,33,30 to <40,South Korea,Right,City,9.5,9+ hours,Undergraduate,Mazda,2031-10-01,92.98,99.2800869268093
Melinda Houston,15,<20,USA,Right,Rural,5.5,Under 7 hours,No Qualifications,Volkswagen,2032-04-01,89.71,91.5175739315592
William Knight,46,40 to <50,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Mini,2031-06-01,95.36,98.3919228696219
Tracey Bass MD,90,80+,NZ,Right,Rural,4.5,Under 7 hours,Undergraduate,Rolls Royce,2030-09-01,97.63,107.979227408108
Laura Morrow,55,50 to <60,South Korea,Right,City,7.5,7 to <9 hours,No Qualifications,Toyota,2032-06-01,96.2,103.136524280554
Maria Harris,87,80+,NZ,Right,Rural,6.0,Under 7 hours,Undergraduate,Tesla,2030-11-01,94.67,103.190061916499
Michael Snyder,27,20 to <30,Denmark,Left,Rural,8.0,7 to <9 hours,No Qualifications,Suzuki,2030-03-01,96.0,101.546992294881
Brett Rodriguez,98,80+,South Korea,Right,City,8.0,7 to <9 hours,No Qualifications,Kia,2031-11-01,94.7,98.2852010342892
Erin Brown,20,20 to <30,Denmark,Right,Town,6.5,Under 7 hours,Undergraduate,Nissan,2032-05-01,91.35,95.9465232422484
Michael Obrien,52,50 to <60,USA,Left,City,7.5,7 to <9 hours,No Qualifications,Mazda,2031-05-01,94.18,97.7603646907316
Frank Morris,82,80+,NZ,Right,City,8.0,7 to <9 hours,Undergraduate,Citroën,2032-03-01,92.61,93.8687507925367
Louis Nichols,49,40 to <50,USA,Left,City,7.5,7 to <9 hours,No Qualifications,Tesla,2031-07-01,94.01,92.6784237081184
Randy Ramirez DVM,23,20 to <30,South Korea,Right,City,10.5,9+ hours,Undergraduate,Suzuki,2030-11-01,94.98,87.7454958085701
Kathryn Brown,32,30 to <40,USA,Right,City,7.0,7 to <9 hours,Undergraduate,Peugeot,2032-06-01,93.41,110.280361770289
Jessica Ray,12,<20,South Korea,Left,City,8.0,7 to <9 hours,No Qualifications,Citroën,2032-08-01,72.37,74.9649616221301
Johnathan Hoover,46,40 to <50,Denmark,Ambidextrous,City,8.0,7 to <9 hours,No Qualifications,Toyota,2032-08-01,97.66,107.608670535222
Kelsey Todd,34,30 to <40,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Nissan,2032-12-01,93.52,107.270208268685
Linda Walker,36,30 to <40,USA,Right,Town,7.5,7 to <9 hours,Undergraduate,Fiat,2032-10-01,93.16,93.0900962896823
Theresa Mills,36,30 to <40,Denmark,Right,Rural,4.5,Under 7 hours,No Qualifications,Volkswagen,2030-10-01,98.5,94.2117171571707
Isaac Lane,53,50 to <60,NZ,Right,Rural,6.5,Under 7 hours,No Qualifications,Toyota,2031-09-01,98.22,109.390465023517
Tracy Turner,25,20 to <30,South Korea,Right,Town,9.0,9+ hours,No Qualifications,Mini,2030-01-01,91.49,100.966156293104
Eric Dougherty,86,80+,South Korea,Right,City,8.0,7 to <9 hours,No Qualifications,Suzuki,2032-08-01,97.12,102.842167107073
Mrs. Sandra Strong MD,8,<20,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Volkswagen,2032-01-01,67.28,74.0926873662198
Mary Alvarez,21,20 to <30,USA,Right,City,9.0,9+ hours,No Qualifications,Toyota,2030-03-01,94.9,88.0006786685459
Kayla Cross,34,30 to <40,USA,Right,Rural,7.0,7 to <9 hours,Undergraduate,Tesla,2032-11-01,94.67,89.280651411528
Lisa Smith,15,<20,USA,Right,City,9.0,9+ hours,No Qualifications,Mazda,2032-01-01,79.97,96.3622317848656
Dennis Johnson,13,<20,USA,Right,Town,8.5,7 to <9 hours,No Qualifications,Toyota,2031-09-01,82.82,90.1723280744574
Brandon Beltran,41,40 to <50,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Mini,2031-04-01,94.71,90.0572067414371
Mr. Thomas Medina,43,40 to <50,South Korea,Left,City,7.0,7 to <9 hours,No Qualifications,Mercedes,2031-11-01,94.84,93.4007413559246
Amy Moore,47,40 to <50,NZ,Left,Town,6.5,Under 7 hours,No Qualifications,Tesla,2032-07-01,94.84,99.1186811054057
Matthew Garner,22,20 to <30,USA,Left,Rural,7.5,7 to <9 hours,No Qualifications,Kia,2032-01-01,93.9,95.1710306388696
Leslie Grant,59,50 to <60,USA,Right,Rural,8.5,7 to <9 hours,No Qualifications,Volkswagen,2032-02-01,98.86,102.320080272524
Steven Myers,10,<20,NZ,Ambidextrous,City,9.0,9+ hours,No Qualifications,Toyota,2032-04-01,72.11,78.2840944692598
Nancy Quinn,32,30 to <40,Denmark,Right,Town,7.0,7 to <9 hours,No Qualifications,Tesla,2031-10-01,94.71,93.5271212308356
Denise Cooper,19,<20,Denmark,Ambidextrous,Town,8.5,7 to <9 hours,No Qualifications,Volkswagen,2031-07-01,89.88,97.7007753015319
Rebecca Mcdonald,47,40 to <50,South Korea,Right,Town,6.0,Under 7 hours,No Qualifications,Mitsubishi,2031-01-01,98.81,97.9290791025125
Terri Barrett,85,80+,USA,Right,Rural,6.0,Under 7 hours,No Qualifications,Suzuki,2031-04-01,99.98,105.555489462113
Calvin Bauer,20,20 to <30,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Toyota,2030-10-01,95.06,86.9173803256155
Shannon Powers,12,<20,NZ,Right,City,8.5,7 to <9 hours,No Qualifications,Nissan,2032-01-01,80.4,88.6431560377566
Shane Kennedy,12,<20,NZ,Right,City,7.5,7 to <9 hours,No Qualifications,Nissan,2030-02-01,77.02,88.4204153818857
Mr. Andrew Torres,44,40 to <50,South Korea,Right,City,7.5,7 to <9 hours,No Qualifications,Tesla,2032-04-01,95.46,97.1472038828275
Justin Bell,72,70 to <80,South Korea,Right,City,10.0,9+ hours,Undergraduate,Audi,2032-07-01,99.09,97.0613499196963
John Bishop,13,<20,USA,Right,Town,6.0,Under 7 hours,No Qualifications,Mitsubishi,2032-12-01,75.78,82.140432604269
Beth King,67,60 to <70,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Jaguar,2030-04-01,95.26,105.178918861837
Stephanie Ross,12,<20,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Jaguar,2031-05-01,79.15,75.4582073226736
Kristin Brown,58,50 to <60,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Mazda,2031-10-01,98.86,107.037733733317
Charles Brewer,38,30 to <40,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Mazda,2032-07-01,96.29,102.29570213787
Laura Mckenzie,81,80+,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mazda,2031-06-01,93.84,96.2403688499714
Matthew Andrews,64,60 to <70,South Korea,Ambidextrous,City,5.0,Under 7 hours,No Qualifications,Renault,2031-01-01,96.01,89.6964493138212
Heather Silva,71,70 to <80,USA,Left,City,3.5,Under 7 hours,Undergraduate,Kia,2031-03-01,101.91,118.881352393542
John Vargas,72,70 to <80,USA,Left,City,7.5,7 to <9 hours,No Qualifications,Nissan,2032-12-01,98.04,99.8310005377665
Don Riley,71,70 to <80,NZ,Right,Town,5.5,Under 7 hours,Undergraduate,Toyota,2031-08-01,98.45,100.52863570665
David Quinn DDS,67,60 to <70,NZ,Right,Rural,4.0,Under 7 hours,No Qualifications,Mitsubishi,2030-11-01,93.4,97.2807168451268
Harold Eaton,27,20 to <30,South Korea,Right,Town,7.0,7 to <9 hours,Undergraduate,Hyundai,2031-06-01,93.89,90.2101170867076
Kevin Larson,34,30 to <40,USA,Right,City,6.0,Under 7 hours,Undergraduate,Peugeot,2032-01-01,92.2,94.8790006010338
Tiffany Paul,34,30 to <40,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Mini,2031-04-01,93.08,100.697449468347
Cheryl Reed,41,40 to <50,USA,Right,City,8.0,7 to <9 hours,Undergraduate,Volkswagen,2030-03-01,93.45,91.1258431854334
Amber Meyer,33,30 to <40,Denmark,Right,City,6.0,Under 7 hours,No Qualifications,Hyundai,2032-12-01,95.96,104.042731373866
Wendy Harris,84,80+,Denmark,Left,Town,7.0,7 to <9 hours,Undergraduate,Fiat,2032-03-01,97.28,108.075366141239
Scott Oconnor,73,70 to <80,Denmark,Right,Rural,6.0,Under 7 hours,No Qualifications,Mini,2031-02-01,95.18,93.5452858850485
George Pitts,41,40 to <50,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Volkswagen,2031-09-01,94.86,96.332716075245
Brian Vincent,8,<20,USA,Right,Rural,5.5,Under 7 hours,No Qualifications,Tesla,2032-05-01,74.13,80.9233714192832
Stephanie King,39,30 to <40,NZ,Right,City,8.5,7 to <9 hours,No Qualifications,Kia,2032-08-01,94.75,98.7991198052756
Scott Matthews,33,30 to <40,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Honda,2031-10-01,92.14,89.9514247997479
David Harris,62,60 to <70,USA,Right,City,7.5,7 to <9 hours,No Qualifications,BMW,2030-02-01,96.86,98.8841408423739
Emily Hernandez,35,30 to <40,USA,Right,Town,6.0,Under 7 hours,No Qualifications,Mazda,2032-04-01,91.52,106.573699406429
Karen Mckinney,18,<20,NZ,Right,Rural,5.0,Under 7 hours,No Qualifications,Audi,2032-05-01,95.81,101.121244439433
Christopher Perkins,69,60 to <70,South Korea,Right,Town,7.0,7 to <9 hours,No Qualifications,Audi,2030-10-01,99.96,107.08101846153
Dr. Patrick Pierce DDS,76,70 to <80,NZ,Right,Town,7.5,7 to <9 hours,Undergraduate,Audi,2032-10-01,99.58,105.330172771651
Laura Shaw,23,20 to <30,USA,Right,City,6.5,Under 7 hours,No Qualifications,Citroën,2032-09-01,94.26,100.601331870195
Linda Duffy,53,50 to <60,USA,Ambidextrous,City,8.0,7 to <9 hours,Undergraduate,Honda,2032-01-01,98.01,104.351139219749
Christopher Jackson,36,30 to <40,Denmark,Right,City,8.5,7 to <9 hours,No Qualifications,Mitsubishi,2031-06-01,92.82,86.7109176541418
Robert Williams,50,50 to <60,USA,Ambidextrous,City,5.5,Under 7 hours,No Qualifications,Toyota,2031-03-01,93.02,104.410627616482
Thomas Andrews,69,60 to <70,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Jaguar,2032-11-01,96.0,105.704541321499
Brian Zimmerman,14,<20,South Korea,Right,Town,5.5,Under 7 hours,No Qualifications,Tesla,2031-12-01,75.79,89.325740275629
Todd Sullivan,46,40 to <50,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Mitsubishi,2030-04-01,94.65,95.4151607128321
Randall Craig DDS,53,50 to <60,USA,Right,City,5.5,Under 7 hours,No Qualifications,Fiat,2030-04-01,92.68,100.003449217622
Jeffrey Munoz,55,50 to <60,NZ,Right,Rural,4.5,Under 7 hours,No Qualifications,Rolls Royce,2032-09-01,92.63,92.5446847323313
Adam Martin,44,40 to <50,USA,Left,City,5.0,Under 7 hours,No Qualifications,Nissan,2032-04-01,92.17,92.9057605238765
Brittany Mendez,79,70 to <80,South Korea,Right,Town,8.0,7 to <9 hours,No Qualifications,Fiat,2032-11-01,94.91,104.896340703833
April Wells,98,80+,USA,Left,Town,6.0,Under 7 hours,No Qualifications,Jaguar,2032-05-01,97.07,113.362638024924
Jeffrey Coleman,53,50 to <60,Denmark,Right,Town,5.5,Under 7 hours,No Qualifications,Toyota,2031-05-01,98.84,98.9844924002966
James Macias,64,60 to <70,NZ,Left,Rural,7.5,7 to <9 hours,Undergraduate,Renault,2030-01-01,97.21,103.005862466824
Manuel Lewis PhD,17,<20,USA,Left,Town,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2031-07-01,92.91,93.4869994570157
Ryan Hopkins,34,30 to <40,South Korea,Right,Rural,7.5,7 to <9 hours,No Qualifications,Honda,2031-07-01,98.58,107.741955623128
Curtis Massey,18,<20,South Korea,Right,City,10.0,9+ hours,No Qualifications,Volkswagen,2030-04-01,93.64,105.554903105386
Nicole Sweeney DDS,11,<20,USA,Right,Town,9.5,9+ hours,No Qualifications,Hyundai,2032-01-01,79.08,87.8485999264411
Eric Ellis,51,50 to <60,South Korea,Right,Rural,7.5,7 to <9 hours,Undergraduate,Peugeot,2032-01-01,94.75,100.538770695545
Jacob Turner,40,40 to <50,South Korea,Right,City,10.5,9+ hours,No Qualifications,Peugeot,2032-07-01,88.18,96.5652879685445
Jessica Morgan,69,60 to <70,USA,Right,Rural,6.0,Under 7 hours,No Qualifications,Kia,2032-05-01,94.42,89.9633775592427
Colin Kelley,93,80+,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Renault,2031-03-01,94.92,102.904183188028
Vincent Gibbs,79,70 to <80,NZ,Right,Town,5.0,Under 7 hours,Undergraduate,Tesla,2030-02-01,90.93,86.353920127556
Anna Beltran,53,50 to <60,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Nissan,2032-12-01,95.85,112.327581371198
Mia King,78,70 to <80,USA,Right,Rural,5.0,Under 7 hours,No Qualifications,Volkswagen,2030-04-01,97.08,102.806150990047
